小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
外南街185号,(彭州彭州)外南街185号,4813,1988年建成 ,板楼,1.2元/平米/月,暂无信息,成都通合置业,2栋,59户
胡家巷92号院,(都江堰都江堰)胡家巷92号,4368,1998年建成 ,板楼,5元/平米/月,无物业管理服务,单位自建,1栋,30户
商家小区,(彭州彭州)小北街71-73号,4836,1993年建成 ,塔板结合,30元/平米/月,四川汇德物业服务有限公司,上海住保北程置业有限公司,1栋,53户
利民巷1号,(彭州彭州)利民巷1号,4742,1996年建成 ,板楼/塔板结合,1至30元/平米/月,成都市翔云物业公司,开发区建设集团建设开发分公司开发,2栋,20户
天星花园,(彭州彭州)新民东街63号,4788,1998年建成 ,塔楼/板楼,0.2至0.6元/平米/月,暂无信息,无,3栋,160户
天彭镇西南新村,(彭州彭州)西南市街81号,4841,2010年建成 ,板楼,1元/平米/月,小区物业,单位自建,1栋,55户
畜牧局家属院,(彭州彭州)广场西街47号,4214,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
东湖三巷129号,(彭州彭州)东湖三巷129号,4323,2010年建成 ,板楼,1元/平米/月,业主自管,村委集资自建,1栋,10户
宜林雅居,(邛崃邛崃)黄塔街189号,4765,2011年建成 ,塔楼,0.6元/平米/月,成都嘉禾物业管理有限公司,天津中兴嘉禾投资有限公司,1栋,30户
东湖园丁苑,(彭州彭州)红照壁南街97号,4621,1998年建成 ,塔楼,0.3至1.2元/平米/月,小区物业,无,6栋,144户
天府中路130号,(彭州彭州)天府中路130号,4765,1998年建成 ,板楼,1.2元/平米/月,暂无信息,成都铁路局,2栋,44户
星火巷76号,(彭州彭州)星火巷76号,4196,1996年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,24户
兰苑小区,(彭州彭州)金彭中路280号,4217,1993年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,34户
北大街34号,(彭州彭州)北大街34号,4479,1995年建成 ,板楼/平房,30元/平米/月,暂无信息,单位自建,2栋,21户
康乐苑(莲花南路),(都江堰都江堰)宝莲路12号,4753,2005年建成 ,板楼,0.6元/平米/月,西藏天海物业有限公司(都江堰分分公司),浙江天海置业发展有限公司,1栋,36户
南大街380号,(彭州彭州)南大街380号,4800,1993年建成 ,板楼,30元/平米/月,业主自筹物业,无开发商,1栋,92户
江安东三街31号,(都江堰都江堰)江安东三街31号,4851,2000年建成 ,塔楼,暂无信息,暂无信息,四川兴西源置业有限公司,1栋,60户
朝阳中路139号,(彭州彭州)朝阳中路139号,4799,2000年建成 ,塔板结合,0.2元/平米/月,暂无信息,无,1栋,20户
繁江六巷29号,(彭州彭州)繁江六巷29号,4159,2010年建成 ,塔楼,1元/平米/月,暂无信息,村委集资自建,1栋,13户
东大街404号,(彭州彭州)东大街404号,4506,暂无信息 ,塔板结合,1.5元/平米/月,业主自管,暂无信息,2栋,34户
天府南路22号,(彭州彭州)天府南路22号,4581,1998年建成 ,塔楼,1.2元/平米/月,暂无信息,成都铁路局,1栋,18户
南苑小区,(彭州彭州)天贸巷6号,4652,1999年建成 ,板楼,暂无信息,暂无信息,单位自建,5栋,134户
花市巷21号,(彭州彭州)天彭镇西大街116号,4839,1996年建成 ,板楼,7元/平米/月,暂无信息,单位自建,1栋,3户
西大街45号,(彭州彭州)西大街45号,4655,1994年建成 ,板楼,0.5元/平米/月,四川省碧缘物业服务有限公司,四川省碧美房地产开发有限公司,1栋,12户
联升巷13号,(彭州彭州)联升巷13号,4566,1998年建成 ,塔楼,暂无信息,暂无信息,暂无信息,2栋,42户
天府中路,(彭州彭州)天府中路,4039,2002年建成 ,板楼/平房,暂无信息,暂无信息,暂无信息,3栋,17户
南大街18号,(彭州彭州)南大街18号,4822,1997年建成 ,塔楼,0.5元/平米/月,成都嘉宝物业,成安置业公司,1栋,12户
新华旅馆,(简阳城东片区)五友路一段131号,4134,1999年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,24户
司法局家属院,(郫都郫县城区)新南街143,4414,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,2户
商家小区,(彭州彭州)小北街71-73号,4836,1993年建成 ,塔板结合,30元/平米/月,四川汇德物业服务有限公司,上海住保北程置业有限公司,1栋,53户
胡家巷92号院,(都江堰都江堰)胡家巷92号,4368,1998年建成 ,板楼,5元/平米/月,无物业管理服务,单位自建,1栋,30户
利民巷1号,(彭州彭州)利民巷1号,4742,1996年建成 ,板楼/塔板结合,1至30元/平米/月,成都市翔云物业公司,开发区建设集团建设开发分公司开发,2栋,20户
童装厂家属区,(都江堰都江堰)迎宾路108号,4619,2002年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,25户
安都佳苑,(邛崃邛崃)九龙大道99号,4711,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,5栋,156户
政府中路30号院,(青白江青白江)政府中路30号院,4701,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,31户
幸福公寓(都江堰大道),(都江堰都江堰)都江堰大道93号,4330,2000年建成 ,平房,0.5元/平米/月,暂无信息,暂无信息,5栋,74户
德华苑,(都江堰都江堰)勤学路229号,4076,2006年建成 ,平房,0.5元/平米/月,暂无信息,暂无信息,1栋,16户
北大街131号院,(彭州彭州)北大街131号,4268,1996年建成 ,塔板结合,0.2元/平米/月,暂无信息,暂无信息,1栋,28户
兰香苑,(都江堰都江堰)中山路19号,4678,2004年建成 ,平房,1元/平米/月,暂无信息,无,3栋,37户
杨柳河街94号,(都江堰都江堰)杨柳河街94号,4834,2006年建成 ,塔板结合,20元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,2栋,11户
江安东一街7号,(都江堰都江堰)江安东一街7号,4229,2003年建成 ,板楼,0.5元/平米/月,新港物业有限公司,四川长富集团,2栋,40户
消防研究所家属区,(都江堰都江堰)外北街311号,4460,1997年建成 ,板楼/塔板结合,0.5至1元/平米/月,九州物业管理有限公司,无,3栋,88户
柳河雅居院,(彭州彭州)体育场西街127号,4668,1996年建成 ,塔楼,0.5元/平米/月,成红鑫物业管理公司,成都复地置业,5栋,224户
四通北街79号院,(彭州彭州)四通北街79号,4171,1996年建成 ,塔板结合/平房,0.1至4元/平米/月,新华物业,成都通合置业,4栋,140户
延秀街56号院,(彭州彭州)延秀街延秀街56号院,4881,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
花市巷31号,(彭州彭州)花市巷31号,4587,1997年建成 ,板楼,0.9元/平米/月,暂无信息,暂无信息,7栋,144户
西南市街206号,(彭州彭州)西南市街206号,4338,暂无信息 ,未知类型,0.8元/平米/月,暂无信息,暂无信息,4栋,44户
天府巷2号院,(彭州彭州)天府巷2号,4447,1998年建成 ,平房,0.5元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1栋,36户
东大街119号,(彭州彭州)东大街119号,4794,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,4栋,52户
南洋公寓,(彭州彭州)天府中路南洋公寓,4074,1995年建成 ,塔楼,1元/平米/月,成都鸿宇物业管理有限公司,成都置信集团,1栋,46户
残联家属院,(彭州彭州)金彭西路402号,4701,1996年建成 ,板楼,30元/平米/月,单位自管物业,单位承德鑫圣龙房地产开发有限公司,3栋,37户
天星花园,(彭州彭州)新民东街63号,4788,1998年建成 ,塔楼/板楼,0.2至0.6元/平米/月,暂无信息,无,3栋,160户
经典西悦城,(崇州崇州)崇阳大道经典西悦城,4557,暂无信息 ,塔楼,1.6元/平米/月,小区物业,崇州市久合房地产开发有限公司,27栋,3832户
聚兴巷5号,(都江堰都江堰)聚兴巷5号,4463,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
城埝小区,(青白江青白江)绣国路63号,4706,暂无信息 ,塔板结合,暂无信息,业主委员会物业公司,暂无信息,29栋,1110户
泰和巷31号,(都江堰都江堰)泰和巷31号,4506,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,2栋,28户
青平街110号,(金堂金堂)青平街110号,4870,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
宣传部司法局宿舍,(金堂金堂)普利巷69号,4216,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,42户
竹乡苑,(金堂金堂)十里大道二段竹乡苑,4639,暂无信息 ,未知类型,0.4元/平米/月,暂无信息,暂无信息,1栋,4户
团结街220号,(彭州彭州)团结街220号,4783,1997年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
和平街199号,(温江芙蓉古城)和平街199号,4856,2005年建成 ,塔板结合,0.2元/平米/月,暂无信息,暂无信息,2栋,4户
水城茗馨苑B区,(金堂金堂)江北街60号,4440,2005年建成 ,塔楼,0.25至0.8元/平米/月,暂无信息,暂无信息,6栋,128户
奎光路301号附1号,(都江堰都江堰)奎光路301号附1号,4109,2000年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,14户
金彭西路316号,(彭州彭州)金彭西路316号,4524,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
卫鑫小区,(金堂金堂)天灯街133号,4111,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,3户
郊山路27号,(金堂金堂)郊山路27号,4777,暂无信息 ,塔板结合,2元/平米/月,暂无信息,暂无信息,1栋,1户
井福街,(都江堰都江堰)井福街,4478,暂无信息 ,塔楼,1.5元/平米/月,暂无信息,暂无信息,39栋,428户
金彭西路110号,(彭州彭州)金彭西路110号,4526,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
鑫盛巷10号,(彭州彭州)鑫盛巷10号,4120,1998年建成 ,板楼,暂无信息,暂无信息,成都复地置业,2栋,22户
金西路138号,(金堂金堂)金西路138号,4268,暂无信息 ,未知类型,1元/平米/月,暂无信息,暂无信息,1栋,36户
繁江北路138号,(彭州彭州)繁江北路138号,4768,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
都江堰市科技产业开发区滨河公寓,(都江堰都江堰)走马河西路下段130号,4333,2002年建成 ,板楼,暂无信息,暂无信息,暂无信息,2栋,52户
实新社区十里小区,(都江堰都江堰)北灌路实新社区十里小区,4820,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,14栋,301户
大观街172号,(都江堰都江堰)大观街172号,4768,1998年建成 ,平房,12元/平米/月,暂无信息,四川长富集团,1栋,8户
跃煤小区,(彭州彭州)团结街246号,4397,1997年建成 ,塔楼/板楼,0.07至1元/平米/月,暂无信息,单位自建,2栋,104户
彭州苑,"(彭州彭州)外南街238号,外南街240号",4513,2001年建成 ,塔板结合,0.5元/平米/月,业主自筹物业,北京城建成都地产有限公司,4栋,139户
城南阳光苑,(彭州彭州)东北市街18号,4165,1998年建成 ,塔板结合,暂无信息,暂无信息,无开发商,2栋,106户
体育场东街141号,(彭州彭州)体育场东街141号,4862,1994年建成 ,平房,0.3元/平米/月,暂无信息,单位自建,2栋,60户
广友苑,(都江堰都江堰)彩虹大道南段320号,4199,2004年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,20户
汇福苑,(彭州彭州)康居北巷4号,4333,1998年建成 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,3栋,38户
北大街122号,(彭州彭州)北大街122号,4396,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
兴泰苑(新乐巷),(都江堰都江堰)新乐巷34号,4520,1990年建成 ,平房,0.5元/平米/月,暂无信息,四川新城置业有限公司,2栋,61户
