小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
北欧知识城一期,(新都大丰)中利路66号,12451,2012年建成 ,塔板结合,1.8至3.5元/平米/月,成都北新物业服务有限公司,成都北新置地有限公司,29栋,1935户
禾嘉利好,(金牛金牛万达)二环路北三段199号,12381,2000年建成 ,塔楼/板楼,1.2至2元/平米/月,业主自筹物业,成都中汽置业有限公司,3栋,580户
艾佳上邸,(双流双流城区)藏卫路南二段519号,12498,2007年建成 ,塔楼/板楼,1.1元/平米/月,业主自筹物业,无开发商,3栋,308户
中铁奥维尔,(郫都郫县城区)梨园路一段528号,12595,2008年建成 ,塔楼,1.8至4元/平米/月,四川力保企业管理有限公司,中铁八局集团房地产开发有限公司,92栋,5496户
空港星品地,(双流航空港)西航港锦华路三段15号,12518,2013年建成 ,塔板结合,1.6元/平米/月,成都欣蓉康派物业管理有限公司,四川省新实力置业有限公司,1栋,392户
保利公园198百合郡,(新都保利公园)三河街道银杏路99号,12497,2009年建成 ,塔楼/塔板结合,2.1至50元/平米/月,保利广州物业管理有限公司成都分公司,保利（成都）房地产开发有限公司,13栋,1798户
钢管厂五区,"(锦江莲花)海椒市街15号,二环路东四段236号",12385,1988年建成 ,板楼,0.3至0.5元/平米/月,业主自筹物业,无开发商,85栋,5033户
锦城苑(金牛),(金牛茶店子)蜀汉路289号,12320,1998年建成 ,板楼/塔板结合,0.4至1.2元/平米/月,暂无信息,无开发商,54栋,1965户
香水城,(龙泉驿龙泉驿城区)驿建材路239号,12549,2012年建成 ,塔楼/板楼/塔板结合,1.5元/平米/月,成都天盛物业服务有限责任公司,成都天盛房地产开发有限公司,7栋,1538户
雄飞北尚广场,(新都毗河)炬光路222号,12434,2012年建成 ,塔楼/塔板结合,1.8元/平米/月,四川安居乐物业管理股份有限公司,成都雄飞大衍房地产开发有限公司,10栋,1911户
东山领地,(龙泉驿东山)龙泉驿成龙大道与成简快速通道交汇处（芦溪河六国公园旁）,12665,2005年建成 ,塔板结合,1.5至1.6元/平米/月,成都胜凯物业管理有限公司,成都中石化一腾燃油有限公司,8栋,2187户
成都合院一期,(高新西高新西)西源大道1313号,12476,2010年建成 ,塔板结合,1.8至2.6元/平米/月,成都名著物业管理有限公司,四川园丁房地产开发有限公司,24栋,1709户
龙腾东麓城,(龙泉驿东山)歇凉关路888号,12350,2006年建成 ,塔楼/板楼/塔板结合,1.8元/平米/月,四川龙腾地产集团物业管理有限公司成都分公司,成都吉兴和投资有限公司,15栋,7452户
锦卉苑,(青羊府南新区)锦翠南路2号,12349,2000年建成 ,板楼,0.8元/平米/月,四川中房物业管理有限公司,中房集团成都房地产开发总公司,14栋,519户
新桥逸景B区,"(金牛金府)甘泉路5号, 甘泉路6号",12594,2010年建成 ,塔楼/塔板结合,0.25至0.3元/平米/月,金科物业服务有限公司成都分公司,无开发商,9栋,1452户
青羊东一路68号,(金牛通惠门)青羊东一路68号,12303,1990年建成 ,板楼,0.8元/平米/月,业主自筹物业,无开发商,10栋,1163户
喜悦美湖,(简阳河东新区)东滨路中段466号,12589,2011年建成 ,塔楼/塔板结合,0.8至3元/平米/月,资阳市喜悦物业服务有限公司,"""浙江富园房地产开发有限公司",12栋,2808户
锦桂苑,(青羊府南新区)双清中路100号,12246,1999年建成 ,板楼,0.5至3元/平米/月,四川中房物业管理有限公司,中房集团成都房地产开发总公司,13栋,639户
丽阳嘉园,(龙泉驿洪河)洪河北路9号,12371,2004年建成 ,板楼,0.5至0.6元/平米/月,私人承办物业,四川重锦实业有限责任公司,9栋,651户
暑袜北一街93号,(锦江盐市口)暑袜北一街93号,12620,1990年建成 ,板楼,暂无信息,暂无信息,无,7栋,256户
翰林南城,(双流航空港)长江路二段5号,12425,2005年建成 ,板楼,0.6至0.7元/平米/月,四川省润无声物业发展有限责任公司,四川中盛房地产开发有限责任公司,35栋,1430户
文华路20号,(金牛石人小区)文华路20号,12363,1993年建成 ,板楼,0.3元/平米/月,私人承办物业,无开发商,4栋,200户
天赋龙庭,(龙泉驿西河)龙祥商业街88号,12403,2000年建成 ,塔楼/塔板结合/平房,1.8元/平米/月,成都艾明物业管理有限公司,成都市禹鑫置业有限责任公司,9栋,2574户
旺府凯旋门,(龙泉驿东山)柏合镇龙工南路777号,12411,2015年建成 ,塔板结合,1.5至2.5元/平米/月,成都兴旺宝物业服务有限公司,成都兴宝旺房地产开发有限公司,4栋,1702户
榕树岭,(温江温江大学城)南熏大道三段69号,12217,2012年建成 ,塔板结合,1.2至1.5元/平米/月,香港悦华物业管理有限公司,四川合力房地产开发有限公司,4栋,910户
玺印上院,(龙泉驿龙泉驿城区)北泉路188号,12462,2006年建成 ,板楼,0.68至0.85元/平米/月,成都亿新物业管理有限公司,成都市明阳房地产开发有限公司,49栋,1598户
海伦国际二期,(新都新都城区)博海路83号,12666,2012年建成 ,塔板结合,1.6至4元/平米/月,广州海伦堡物业管理有限公司成都分公司,成都一方投资有限公司,8栋,966户
新瑞园,(武侯外双楠)双丰路55号,12603,2004年建成 ,板楼,0.8元/平米/月,成都川信物业管理有限公司,新瑞实业有限公司,4栋,211户
幸福里,(青羊外光华)福庆路83号,12379,2001年建成 ,塔楼,0.8元/平米/月,成都干道恒兴物业管理公司, 重庆汇东房地产开发有限公司,14栋,2091户
吉春苑,(武侯五大花园)吉福南路292号,12268,2004年建成 ,板楼/塔板结合,1元/平米/月,私人承办物业,无开发商,2栋,523户
锦红苑,(青羊府南新区)同盛路50号,12532,2001年建成 ,塔楼/板楼,0.5至1元/平米/月,四川嘉利来物业有限公司,中房集团成都房地产开发总公司,17栋,834户
中房学府海棠一期,(高新西高新西)天润路777号,12682,2010年建成 ,塔楼/板楼,1.6元/平米/月,四川中房物业管理有限公司,中房集团成都房地产开发有限公司,9栋,1420户
晨曦园,(成华八里小区)桃蹊路166号,12736,2002年建成 ,板楼/塔板结合,0.2至0.8元/平米/月,业主自筹物业,无开发商,6栋,332户
摩玛新城,(成华成渝立交)万科北街19号,12229,2013年建成 ,板楼/塔板结合/平房,2.2至2.82元/平米/月,成都荣泰物业管理有限公司,成都市黄和投资有限公司,5栋,1040户
交大智能八期,(金牛营门口)银河北街1号,12301,2002年建成 ,塔楼/板楼,0.6至0.9元/平米/月,成都交大智能物业管理有限公司,成都交大房产开发有限责任公司,8栋,893户
榕苑,(武侯草金立交)武科东四路1号,12338,2004年建成 ,板楼,0.55至1.2元/平米/月,街道办事处（居委会）代管物业,无开发商,17栋,1106户
成都早晨,(双流航空港)航空港长江路15号,12384,2009年建成 ,板楼,1.2至1.5元/平米/月,成都圣华乐物业管理服务有限公司,四川欣瑞和置业有限公司,3栋,336户
锦花苑(青羊),(青羊府南新区)锦翠南路1号,12333,2000年建成 ,板楼,0.5元/平米/月,四川中房物业管理有限公司,中房集团成都房地产开发总公司,17栋,706户
福祥家园瑞康苑,(金牛茶店子)育仁东路19号,12641,2000年建成 ,板楼,0.3元/平米/月,业主自筹物业,无开发商,25栋,1082户
金科廊桥水乡二期,(新津新津)花源大道555号,12318,2000年建成 ,板楼/塔板结合/平房,2.5至4.5元/平米/月,金科物业服务有限公司成都分公司,成都金科房地产开发有限公司,26栋,218户
壹号公馆,(青羊草市街)人民中路三段1号,12300,2008年建成 ,塔楼,2.8元/平米/月,四川威尔斯物业管理有限公司,四川威尔斯实业有限公司,1栋,622户
培风小区80号,(青羊万家湾)培风路80号,12175,2000年建成 ,塔楼/板楼,0.3至1.2元/平米/月,成都森宇物业管理有限公司,安平酒店管理有限公司,18栋,2515户
人民南路四段51号,(武侯航空路)人民南路四段51号,12431,2000年建成 ,板楼,0.3元/平米/月,私人承办物业,无开发商,6栋,250户
绿地国际花都一期,(郫都郫县城区)西四环蜀都新城创智东二路68号,12502,2011年建成 ,塔楼/板楼/塔板结合,1.8至1.9元/平米/月,重庆泓山物业管理有限公司成都分公司,绿地集团成都申蓉房地产开发有限公司,6栋,1615户
川大河畔,(双流航空港)长城路一段330号,12481,2005年建成 ,板楼,0.55至0.85元/平米/月,成都孺牛物业管理有限公司,成都屹立房地产开发有限公司,17栋,1044户
天悦龙栖台,(龙泉驿龙泉驿城区)龙都北路533号,12482,2016年建成 ,塔楼/塔板结合,1.9至2元/平米/月,成都花园物业管理有限公司,成都天悦桃源房地产开发有限公司,24栋,4369户
华都星公馆一期,(武侯草金立交)武青南路10号,12409,2004年建成 ,板楼,0.6至0.8元/平米/月,四川华都置业有限公司,四川华都置业有限公司,7栋,505户
景碧园,(成华八里小区)桃蹊路68号,12371,2001年建成 ,板楼,1.1至1.2元/平米/月,成都金房物业服务有限公司,无开发商,3栋,199户
翔宇苑二期,(高新紫荆)紫薇东路10号,12350,2000年建成 ,塔板结合,0.8元/平米/月,中航建开物业有限公司,成都西南航空房地产开发有限公司 ,9栋,440户
武青嘉苑,(武侯草金立交)武兴一路10号,12341,2005年建成 ,板楼,0.4至0.55元/平米/月,成都市蜀馨物业管理连锁有限责任公司,成都钰都置业有限公司,9栋,644户
蜀光路8号,(金牛茶店子)蜀光路8号,12059,1998年建成 ,板楼,0.3至1元/平米/月,业主自筹物业,无开发商,3栋,147户
福泽花苑,(天府新区华阳)和平路31号,12289,2000年建成 ,板楼,0.7至0.8元/平米/月,私人承办物业,无开发商,10栋,319户
东方丽景(锦江),(锦江蓝谷地)国槐街901号,12332,2005年建成 ,板楼,0.25元/平米/月,成都美佳物业服务有限公司,成都武海置业有限公司,13栋,996户
东新街8号,(锦江红星路)东新街8号,11789,1995年建成 ,板楼,1元/平米/月,暂无信息,无,1栋,12户
和鸿天府金花,(武侯簇桥)和鸿-天府金花,12367,2000年建成 ,塔楼/塔板结合,0.9元/平米/月,成都力成物业管理有限公司,四川嘉宇房地产开发有限公司,4栋,877户
民生新干线,(新都大丰)大丰镇大天路258号,11767,2012年建成 ,板楼/塔板结合,1.3元/平米/月,四川省蓝光嘉宝物业,成都民生置业有限公司,11栋,1530户
银河花园二期,(龙泉驿大面)银河路179号,12392,2007年建成 ,板楼/塔板结合,1至1.2元/平米/月,成都市银河物业发展有限公司,四川省银河投资集团有限公司,4栋,507户
莲花新区北一巷3号,(锦江莲花)莲花新区北一巷3号,12264,1996年建成 ,板楼,0.8元/平米/月,业主自筹物业,无开发商,3栋,210户
万峰城A区依云谷,(简阳河东新区)雄州大道南段万峰城A区依云谷,12291,2010年建成 ,塔楼/板楼/塔板结合,1.45至2.4元/平米/月,宁波亚太酒店物业管理有限公司,简阳京新房地产开发有限公司,15栋,2840户
玉林西路4号,(高新芳草)玉林西路4号,12536,2000年建成 ,塔楼/板楼,0.3至1元/平米/月,私人承办物业,无开发商,4栋,115户
永陵路23号,(金牛通惠门)永陵路23号,12299,1990年建成 ,板楼,2元/平米/月,九州物业管理有限公司, 重庆汇东房地产开发有限公司,2栋,40户
缤纷年华,(高新西高新西)尚华路399号(老成灌路尚华路口),12325,2016年建成 ,塔楼,1.78至1.8元/平米/月,成都佳祥物业管理有限公司,成都旭和祥房地产开发有限公司,3栋,965户
恒福苑,(金牛金牛万达)泰宏街95号,12695,2002年建成 ,板楼,0.8至1.2元/平米/月,成都顺兴物业管理服务有限公司,四川关家房地产开发有限公司,4栋,330户
米兰小筑,(青羊八宝街)人民中路三段4号,12444,2005年建成 ,塔楼/板楼,1.5元/平米/月,业主自筹物业,无开发商,1栋,394户
青森小区,(青羊贝森)青森街1号,12653,1998年建成 ,板楼/塔板结合,0.3元/平米/月,私人承办物业,无开发商,15栋,959户
府河名居二期,(天府新区南湖)顺河街107号,12535,1999年建成 ,板楼/塔板结合,0.5至0.7元/平米/月,成都江凯置业有限公司, 大理耀鹏房地产开发有限责任公司,6栋,126户
龙舟小区3号院,(锦江三官堂)龙舟小区3号院,12645,1998年建成 ,板楼,0.8至2元/平米/月,业主自筹物业,无开发商,5栋,301户
成通小区,(武侯武侯立交)草金东路1号,12360,1995年建成 ,板楼,0.65元/平米/月,小区物管处,无开发商,12栋,762户
磨底河沿巷3号,(青羊府南新区)磨底河沿巷3号,12240,1996年建成 ,板楼,0.3元/平米/月,私人承办物业,无开发商,1栋,36户
石人南街14号,(青羊府南新区)石人南街14号,12348,1995年建成 ,板楼/平房,0.5至8元/平米/月,暂无信息,成都市地建置业有限公司,2栋,171户
磨底河沿街3号,(青羊府南新区)磨底河沿街3号,12516,1990年建成 ,板楼,8元/平米/月,街道办事处（居委会）代管物业,成都干道建设综合开发总公司,1栋,36户
东景丽苑,(成华万象城)万年路31号,12371,2006年建成 ,塔楼/板楼/平房,1.2元/平米/月,业主自筹物业,无开发商,5栋,430户
青龙乾院B区,(成华驷马桥)致顺南一街19号,12472,2008年建成 ,塔楼/板楼,0.6元/平米/月,中房集团成都物业有限公司,成都新成华旧城开发投资有限公司,6栋,1190户
市委机关宿舍二期,(金牛一品天下)同善街22号,12609,1998年建成 ,板楼,0.6至0.8元/平米/月,私人承办物业,成都润馨房地产公司,14栋,520户
东域龙湾一期,(龙泉驿东山)燃灯寺南路498号,12458,2012年建成 ,塔板结合,1.1元/平米/月,四川悦华置地物业管理有限公司,东山置业公司,4栋,520户
东晖花园四期,(成华八里小区)怡福巷38号,12481,2004年建成 ,塔楼/板楼,0.5元/平米/月,成都居易物业管理有限公司,无开发商,3栋,245户
清江东路120号,(金牛石人小区)清江东路120号,12560,1980年建成 ,板楼,0.2元/平米/月,私人承办物业,无开发商,17栋,420户
宗申流溪丽园,(双流航空港)西航港长江路一段8号,12642,2007年建成 ,板楼/塔板结合,0.7至0.8元/平米/月,成都红谷物业管理有限公司,无开发商,20栋,690户
科沁苑,(青羊府南新区)锦屏西街1号,12645,2001年建成 ,板楼,0.5元/平米/月,私人承办物业,中房集团成都房地产开发有限公司,9栋,384户
顺苑(燃灯寺路),(武侯广福桥)燃灯寺路11号,12319,2000年建成 ,塔板结合,0.4元/平米/月,社区物业,无开发商,5栋,168户
欧城雅典,(双流东升镇)三强东路一段112号,12690,2008年建成 ,板楼,1.25至1.3元/平米/月,成都欧城物业管理有限公司,成都三强房地产发展有限公司,5栋,754户
十里彩云间,(成华万年场)崔家店路578号,12407,2007年建成 ,塔楼,1.5元/平米/月,成都市创天乐物业管理有限公司,成都市圣灯城镇建设开发有限公司 ,3栋,322户
北大街32号,(青羊草市街)北大街32号,12405,1994年建成 ,板楼,1.89元/平米/月,小区物管处,无开发商,1栋,49户
朝发苑,(成华新华公园)双桥路274号,12671,2000年建成 ,塔楼/板楼,0.6元/平米/月,成都成发物业公司,成都发动机（集团）房地产开发有限公司,15栋,843户
高升桥东路22号,(武侯高升桥)高升桥东路22号,12362,2000年建成 ,板楼,0.3元/平米/月,私人承办物业,成都华明实业开发有限责任公司,4栋,205户
海棠金宇府河花园,"(天府新区南湖)富民路一段133号, 富民路88号",12544,2000年建成 ,板楼/塔板结合,0.5至1元/平米/月,小区物业,山西达瑞德投资有限公司,18栋,737户
蓝色钻石(巢础巷),(高新中和)巢础巷28号,12248,2003年建成 ,板楼,0.3元/平米/月,暂无信息,成都市平安实业有限责任公司,7栋,161户
斑竹欣苑,"(新都大丰)大江路40号, 斑竹园镇大江路2号",12400,2006年建成 ,板楼/塔板结合,1.8至2.5元/平米/月,暂无信息,四川西南房屋综合开发有限公司,27栋,53户
龙湖悠山郡四期,(新津新津)正公路龙湖悠山郡四期,12548,2005年建成 ,塔板结合,4.8至5元/平米/月,成都龙湖物业服务有限公司, 重庆汇东房地产开发有限公司,53栋,246户
东风路北二巷4号,(成华猛追湾)东风路北二巷4号,12364,1983年建成 ,塔楼/板楼,0.3元/平米/月,街道办事处（居委会）代管物业,无开发商,7栋,390户
润扬书院阁,(双流航空港)学府路133号,12485,2007年建成 ,塔板结合,1.2元/平米/月,业主自筹物业,无开发商,7栋,486户
翰林风华,(双流东升镇)白依中街163号,12209,2005年建成 ,板楼,0.65至0.8元/平米/月,私人承办物业,无开发商,13栋,793户
大观苑一期,(锦江蓝谷地)蝶花街610号,12382,2002年建成 ,板楼,0.25元/平米/月,业主自筹物业,无开发商,7栋,507户
黄忠爱丽舍,(金牛蜀汉路)黄忠路5号,12409,2003年建成 ,板楼,0.8元/平米/月,私人承办物业,无开发商,1栋,211户
永祥苑,(武侯簇桥)永祥苑,12495,2009年建成 ,塔板结合,0.5元/平米/月,成都金强住邦物业,北京芳洲集团,6栋,968户
竹园二期,(武侯红牌楼)永盛南街6号,12473,2004年建成 ,板楼,0.4至0.5元/平米/月,私人承办物业,无开发商,3栋,183户
倍特科技苑,(高新芳草)芳草西一街2号,12562,1994年建成 ,板楼,0.6至0.8元/平米/月,小区物业,成都倍特建设开发有限公司,12栋,294户
仁和街39号院,(高新金融城)仁和街39号院,12269,1998年建成 ,板楼,暂无信息,成都春晓物业,成都置信集团,13栋,1585户
银锣湾,(成华动物园)青龙路499号,12684,2008年建成 ,板楼/塔板结合,1.6元/平米/月,成都兴民物业管理有限公司,四川银华房地产开发有限公司,3栋,1161户
芳草东街64号,(高新芳草)芳草东街64号,12556,1999年建成 ,板楼,0.5至1.2元/平米/月,无物业管理服务,无开发商,2栋,184户
怡顺苑,(武侯红牌楼)二环路西一段11号,12329,1998年建成 ,板楼,0.8元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,112户
兴元花园一期,(金牛抚琴小区)金鱼街62号,12308,2000年建成 ,板楼,0.8元/平米/月,四川鑫元物业管理有限公司,成都市兴元房地产开发有限公司,3栋,100户
华气苑,(龙泉驿龙泉驿城区)北京路59号,12682,2003年建成 ,板楼,0.5至0.8元/平米/月,暂无信息,成都华邑房地产开发有限公司,6栋,114户
东域龙湾二期,(龙泉驿航天)燃灯寺南路398号,12527,2012年建成 ,板楼/塔板结合,1.1元/平米/月,四川悦华置地物业管理有限公司,成都华信天宇实业有限公司,3栋,962户
歌德堡,(双流公兴)黄龙大道二段512号（成雅高速公兴和黄甲出口处）,12238,2015年建成 ,塔板结合,1.78元/平米/月,成都市硕鑫物业管理有限公司,成都双流新兴建材有限公司,2栋,501户
点将台横街51号,(锦江合江亭)点将台横街51号,12245,1990年建成 ,塔楼/板楼,0.5至3元/平米/月,暂无信息,物业和度娘都不知道开发商名称,3栋,226户
玉林北街68号,(武侯玉林)玉林北街68号,12656,1998年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,1栋,60户
红星路一段44号,(青羊草市街)红星路一段44号,12250,1990年建成 ,塔板结合,暂无信息,暂无信息,无开发商,2栋,56户
经天路3号,(锦江琉璃场)经天路3号,12293,1996年建成 ,板楼/塔板结合,0.6至1.5元/平米/月,成都金房物业有限公司,成都武海置业有限公司,12栋,1292户
川附苑,(锦江川师)菱安路103号,12235,1974年建成 ,板楼,0.3元/平米/月,小区物业, 大理耀鹏房地产开发有限责任公司,3栋,144户
站北东街52号院,(成华驷马桥)站北东街52号院,12532,1997年建成 ,板楼,0.5元/平米/月,小区物管处, 陕西亿润经贸有限公司 ,11栋,357户
东方阳光城B区,(锦江琉璃场)经天路2号,12423,1999年建成 ,板楼,0.35元/平米/月,私人承办物业,无开发商,18栋,1415户
玉沙路143号院,(青羊草市街)玉沙路143号,12232,1982年建成 ,板楼,0.2元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,92户
泉水人家二期B区,(金牛华侨城)朗润路2号,12611,2011年建成 ,塔板结合,0.3至1.05元/平米/月,业主自筹物业,无开发商,14栋,1984户
皇经花园B区,"(锦江琉璃场)经天三街50号, 经天西街69号",12227,2007年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,10栋,488户
簇桥中街166号,(武侯簇桥)簇桥中街166号,12210,2000年建成 ,塔板结合/平房,0.6至2.5元/平米/月,成都嘉宝物业,成都置信集团,8栋,112户
泰怡花园,(成华八里小区)新风巷1号,12430,1996年建成 ,板楼,0.5至1.1元/平米/月,业主自筹物业,无开发商,6栋,276户
成勘苑,(成华李家沱)华油路175号新15号,12657,1994年建成 ,板楼,0.2至0.5元/平米/月,业主自筹物业,中房集团成都房地产开发总公司,3栋,154户
悦民苑,(金牛一品天下)同和路98号,12352,1998年建成 ,板楼,0.35至0.5元/平米/月,成都金房物业管理有限公司,成都金房集团有限公司,14栋,862户
常青藤三期,(新都大丰)互惠大道39号,12556,2014年建成 ,塔楼/塔板结合,1.6至1.8元/平米/月,成都市乐佳物业服务有限公司,成都市翔宇房地产开发有限公司,3栋,941户
科华中路193号院,(武侯火车南站)科华中路193号,12447,1993年建成 ,板楼,0.5至3元/平米/月,九州物业管理有限公司,无,3栋,107户
蜀明东路4号,(金牛茶店子)蜀明东路4号,12531,1998年建成 ,板楼,0.3至0.5元/平米/月,小区物管处,无,7栋,344户
九峰花园,(金牛花照壁)金府路198号,12553,2011年建成 ,塔楼/板楼,1.5至1.6元/平米/月,成都九峰物业管理有限公司,成都金府油脂有限责任公司,2栋,449户
北一街小区,(成华新华公园)双桥路89号,12613,1998年建成 ,板楼,0.5至1元/平米/月,私人承办物业,无开发商,16栋,1132户
蓝天路3号,(高新芳草)蓝天路3号,12283,1991年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,6栋,197户
华凌尚城,(金牛五块石)玉赛路9号,12532,2006年建成 ,塔楼/板楼/塔板结合,0.9至3元/平米/月,成都华凌物业管理有限公司,成都市华凌房地产开发有限公司,7栋,738户
邮电局宿舍,(武侯广福桥)燃灯寺路1号,12493,1995年建成 ,板楼/塔板结合,1元/平米/月,私人承办物业,无开发商,4栋,349户
光华公屋二期,(青羊草堂)草堂北支路58号,12574,1998年建成 ,板楼,暂无信息,私人承办物业,成都汇厦建设投资股份有限公司,8栋,354户
摩卡空间,(双流东升镇)东升街道吴家坝北街40号,12681,2004年建成 ,板楼,1.2元/平米/月,暂无信息,无,1栋,196户
东新街5号,(锦江红星路)东新街5号,12632,1989年建成 ,板楼,0.5至10元/平米/月,暂无信息,无,2栋,77户
东怡园,(锦江静居寺)东怡街16号,12344,2002年建成 ,塔楼/板楼,0.5元/平米/月,私人承办物业,无开发商,11栋,829户
上置雅宾利,(郫都红光)红光港华路555号,12536,2014年建成 ,塔板结合,2.1至5元/平米/月,上海上置物业集团有限公司成都分公司,成都上置置业有限公司,15栋,2847户
南河居(武侯),(武侯川音)致民东路20号,12284,2000年建成 ,板楼/平房,0.6元/平米/月,私人承办物业,四川弘民房地产集团有限公司,1栋,46户
大庆路89号,(青羊府南新区)大庆路89号,12397,2000年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,3栋,112户
新光社区文韵苑,(高新新北)新乐南街2号,12549,2005年建成 ,板楼,0.8元/平米/月,私人承办物业,无开发商,21栋,1255户
西岭路3号,(青羊草堂)西岭路3号,12236,1997年建成 ,板楼,30元/平米/月,同馨物业,万科物业公司,2栋,56户
兴亿小区,(高新衣冠庙)肖家河东四巷3号,12651,2000年建成 ,塔楼/板楼,0.4元/平米/月,私人承办物业,无开发商,9栋,387户
猛追湾东街2号,(成华猛追湾)猛追湾东街2号,12454,1998年建成 ,板楼,3元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,2栋,57户
石笋街3号,(金牛花牌坊)石笋街3号,12509,1994年建成 ,板楼,0.2元/平米/月,业主自筹物业,无开发商,2栋,87户
金玉满堂,(双流文星镇)西航港新街215号,12623,2006年建成 ,塔楼,1.6元/平米/月,业主自筹物业,成都王茂房地产开发有限责任公司,2栋,544户
紫荆北路58号,(高新紫荆)紫荆北路58号,12549,2000年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,6栋,256户
肖家河东二巷,(高新衣冠庙)肖家河东二巷1号,12506,1995年建成 ,塔楼/板楼,0.8至2元/平米/月,街道办事处（居委会）代管物业,无开发商,8栋,425户
清江东路360号,(青羊府南新区)清江东路360号,12670,1978年建成 ,板楼,0.1至0.8元/平米/月,私人承办物业,无开发商,24栋,784户
学府花园,(武侯川大)一环路南一段12号,12476,2001年建成 ,塔楼,1.6至1.8元/平米/月,小区物业,无开发商,1栋,242户
一环路南二段7号,(武侯川音)一环路南二段7号,12589,1992年建成 ,板楼,0.5至1.5元/平米/月,私人承办物业,无开发商,13栋,472户
沙子堰东巷4号,(高新芳草)沙子堰东巷4号,12329,1986年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,2栋,104户
省送变电站宿舍,(武侯双楠)少陵路457号,12378,2000年建成 ,板楼,0.5元/平米/月,无物业管理服务,无开发商,2栋,94户
西安中路39号,(金牛通惠门)西安中路39号,12340,1990年建成 ,板楼,0.3至0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,7栋,228户
东马道街21号,(青羊草市街)东马道街21号,12531,2003年建成 ,板楼,0.8元/平米/月,业主自筹物业,无开发商,2栋,168户
东方家园,(龙泉驿十陵)十陵镇灵龙路213号,12334,2000年建成 ,板楼,0.5至0.8元/平米/月,私人承办物业,无开发商,18栋,766户
平安苑(金牛),(金牛金牛万达)泰宏街8号,12643,2001年建成 ,板楼,0.8元/平米/月,四川中房物业管理有限公司,中房集团成都房地产开发有限公司,9栋,463户
古中市街28号,(青羊太升路)古中市街28号,12443,1993年建成 ,板楼,暂无信息,私人承办物业,无开发商,1栋,106户
新南路84号,(武侯川音)新南路84号,12503,1990年建成 ,板楼,0.6至0.8元/平米/月,私人承办物业,无开发商,4栋,161户
菊乐路96号,(武侯双楠)菊乐路96号,12463,1993年建成 ,板楼/塔板结合,0.5元/平米/月,无物业管理服务,无,3栋,137户
建设公寓,(成华建设路)建设路8号,12701,2002年建成 ,板楼,0.5元/平米/月,私人承办物业,无开发商,2栋,124户
观音阁前街4号,(金牛花牌坊)观音阁前街4号,12307,1992年建成 ,板楼,0.5元/平米/月,业主自筹物业,无开发商,5栋,194户
沙湾路164号,(金牛沙湾)沙湾路164号,12288,1991年建成 ,板楼/塔板结合,0.3元/平米/月,业主自筹物业,无开发商,7栋,268户
三倒拐街21号,(锦江盐市口)三倒拐街21号,12667,1989年建成 ,板楼,0.6元/平米/月,小区物管处,省一建公司,2栋,56户
北新国际二期,(新都大丰)互惠大道158号,12634,2012年建成 ,塔楼/板楼,2.5至5.5元/平米/月,暂无信息,成都景丰嘉信置业有限公司,3栋,1538户
陕西街128号,(青羊人民公园)陕西街128号,12558,1998年建成 ,塔板结合,0.2元/平米/月,街道办事处（居委会）代管物业,	西安大德房地产开发有限公司,1栋,28户
槐树苑二期欣苑,(成华万年场)槐树店路40号,12501,2004年建成 ,板楼/塔板结合,0.35至0.5元/平米/月,成都中南物业服务有限公司,成都城投地产有限公司,5栋,315户
一环路南三段55号,(武侯华西)一环路南三段55号,12259,1994年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,3栋,70户
天祥大厦,(成华猛追湾)望平街118号,12316,1998年建成 ,塔楼/板楼,1.2至6元/平米/月,四川省锦鸿中意物业管理有限责任有限公司,无开发商,3栋,403户
一环路西三段110号,(金牛花牌坊)一环路西三段110号,12326,1996年建成 ,塔板结合,1元/平米/月,业主自筹物业,无开发商,2栋,70户
蓓蕾西巷3号,(高新芳草)蓓蕾西巷3号,12356,1994年建成 ,板楼,1元/平米/月,业主自筹物业,无开发商,1栋,70户
正北中街25号院,(天府新区南湖)正北中街25号,12662,2000年建成 ,板楼,0.6至1.2元/平米/月,成都世纪城物业管理有限公司, 重庆桥达茂宸房地产开发有限公司,7栋,244户
海椒市街7号院,(锦江九眼桥)海椒市街7号,12692,1990年建成 ,塔楼/板楼,0.5至1元/平米/月,业主自筹物业,无开发商,5栋,377户
丰瑞玺悦城,(新都大丰)大丰街道南丰大道494号,12277,2015年建成 ,塔板结合,1.5元/平米/月,成都美和物业管理有限公司,成都华通电子电器实业公司,3栋,448户
卫欣苑,(武侯红牌楼)盛丰路488号,12195,2000年建成 ,板楼,0.8至2元/平米/月,成都卫联物业管理业有限责任公司,无开发商,7栋,417户
