小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
胜利路94号,(信州区亿升商圈)上饶市信州区胜利路94号,5716,板楼,0.5元/平米/月,恒伟物业,上饶市龙辉实业有限公司,1栋,72户
河口人家,(铅山县)鹅湖大道河口人家,5428,平房,暂无信息,暂无信息,暂无信息,7栋,184户
月兔春后,(信州区万力商圈)中山路月兔春后,5715,平房,0.5元/平米/月,暂无信息,上饶市龙都置业有限公司,1栋,44户
文家小区,(广信区旭日商圈)谈家桢路文家小区,4745,板楼,暂无信息,暂无信息,暂无信息,3栋,28户
中兴大厦,(信州区亿升商圈)胜利路中兴大厦,4975,塔板结合,暂无信息,暂无信息, 重庆汇东房地产开发有限公司,1栋,8户
带湖路49号,(信州区十一小商圈)带湖路49号,5023,塔板结合,1元/平米/月,上饶杰钺物业,上饶市宜居置业有限公司,1栋,28户
江西致仁宝业,(广信区旭日商圈)七六大道江西致仁宝业,5810,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
信江西路54号,(信州区亿升商圈)信江西路54号,5423,板楼,暂无信息,暂无信息,暂无信息,1栋,48户
外贸小区,(广信区旭日商圈)旭日北大道外贸小区,5174,板楼,2元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",4栋,62户
水南街80号,(信州区水南街商圈)水南街80号,5183,平房,暂无信息,暂无信息,上海东帝置业投资有限公司,1栋,25户
五三大道172号,(信州区亿升商圈)五三大道172号,5707,塔板结合,暂无信息,无物业管理服务,上海上泰绅苑置业有限公司,2栋,20户
相府路19号,(信州区亿升商圈)相府路19号,5689,板楼,暂无信息,无物业管理服务,无,1栋,42户
火车站站前路3号,(信州区亿升商圈)火车站站前路3号,5569,塔板结合,暂无信息,新力物业集团有限公司,上饶市万和置业有限公司,1栋,56户
信龙公寓,(信州区亿升商圈)滨江西路32号,5062,平房,1.5元/平米/月,上饶鼎盛物业管理公司,上饶市宜居置业有限公司,1栋,28户
三清山西大道6号,(广信区旭日商圈)三清山西大道6号,5836,平房,0.6元/平米/月,暂无信息,上大阳光,2栋,50户
破塘90号,(信州区亿升商圈)破塘90号,5556,平房,0.1元/平米/月,上饶市永安行物业管理有限公司,上饶市龙都置业有限公司,1栋,25户
上饶国际家居城,(广信区旭日商圈)三清山西大道11号,5142,板楼/塔板结合,1元/平米/月,暂无信息,上饶市龙都置业有限公司,12栋,217户
林家巷8号,(信州区亿升商圈)林家巷8号,5672,塔板结合,0.8元/平米/月,上饶鼎盛物业管理公司,德信集团有限公司,1栋,42户
红芽楼,(信州区亿升商圈)渡口南街红芽楼,5309,塔楼,暂无信息,钟灵物业有限公司,上饶市龙都置业有限公司,1栋,24户
东江汽运小区,(广信区上饶高铁站商圈)紫阳北大道东江汽运小区,5277,塔板结合,5元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,8栋,267户
八角塘西巷15号,(信州区亿升商圈)八角塘西巷15号,5477,板楼,0.5元/平米/月,万福物业,0,1栋,24户
水南街75号,(信州区水南街商圈)水南街75号,5697,塔板结合,暂无信息,暂无信息,暂无信息,1栋,12户
二建宿舍,(信州区亿升商圈)胜利路二建宿舍,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,无开发公司,1栋,84户
信江中路138号,(信州区亿升商圈)信江中路138号,5315,平房,暂无信息,暂无信息,暂无信息,1栋,158户
金典花苑,(广信区旭日商圈)旭日北大道6号,5598,板楼,暂无信息,无, 陕西亿润经贸有限公司 ,3栋,121户
锦秀园,(横峰县县政府商圈)周家山路锦秀园,4800,未知类型,暂无信息,暂无信息,暂无信息,5栋,159户
旭日南大道54号,(广信区旭日商圈)旭日南大道54号,5122,塔板结合,1.2元/平米/月,暂无信息,江西天祥置业有限公司,1栋,29户
中山西路95号,(信州区亿升商圈)中山西路95号,5621,板楼,1元/平米/月,无物业管理服务,开发区建设集团建设开发分公司开发,1栋,10户
上饶县交通运输局,(广信区旭日商圈)旭日南大道37号,5196,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
农副产品市场,(广信区上饶高铁站商圈)石狮乡货场路2号,4703,板楼,暂无信息,暂无信息,暂无信息,6栋,250户
解放路15号,(信州区亿升商圈)解放路15号,5208,板楼,暂无信息,润丰物业管理有限公司,彭浦镇政府,1栋,114户
凤凰西苑,(广信区旭日商圈)民生路6号,5544,板楼/平房,0.6至1.8元/平米/月,凤凰物业管理公司,合肥凤凰文化地产有限公司,9栋,516户
智慧苑,(广信区旭日商圈)旭日北大道272号,5125,板楼/塔板结合,0.5元/平米/月,江西和立物业有限公司,江西优乐汇实业有限公司,7栋,245户
胜利路51号,(信州区亿升商圈)胜利路51号,5347,塔板结合,1元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,2栋,54户
农发行宿舍,(信州区十一小商圈)凤凰中大道农发行宿舍,5425,板楼,暂无信息,暂无信息,江西泰兴隆置业有限公司,4栋,46户
解放路95号,(信州区亿升商圈)解放路95号,5685,未知类型,暂无信息,暂无信息,暂无信息,1栋,214户
信江东路8号,(信州区亿升商圈)信江东路8号,5155,塔板结合,1.5元/平米/月,暂无信息,暂无信息,1栋,48户
中共上饶市委党校,(信州区水南街商圈)书院路110号,5213,平房,暂无信息,无,无,2栋,35户
灵燕公司大院,(信州区亿升商圈)胜利路61号,5095,平房,暂无信息,暂无信息,上海中天置业发展有限公司,3栋,29户
王家坝小区,(广信区上饶高铁站商圈)王家坝小区,4918,板楼,暂无信息,暂无信息,暂无信息,7栋,85户
鄱阳中心花园,(鄱阳县)鄱阳湖大道鄱阳中心花园,5854,板楼,0.8元/平米/月,中航物业,暂无信息,19栋,683户
智豪首府,(余干县)干越大道641号,5374,未知类型,暂无信息,暂无信息,暂无信息,4栋,316户
信渡口批发市场官仑弄居,(信州区亿升商圈)信江中路渡口批发市场官仑弄居,5596,未知类型,暂无信息,暂无信息,暂无信息,4栋,173户
武安1号公馆,(玉山县玉山县)人民大道777号,5734,未知类型,暂无信息,暂无信息,暂无信息,21栋,274户
七六大道55号,(广信区七六路商圈)七六大道55号,5576,平房,1.2元/平米/月,暂无信息,物业和度娘都不知道开发商名称,1栋,80户
天地豪园,(广丰区广丰区)源溪路天地豪园,5280,塔楼,1元/平米/月,暂无信息,晋中开发区房地产开发有限公司,47栋,337户
福利厂,(信州区亿升商圈)胜利路福利厂,4895,塔楼,暂无信息,暂无信息,暂无信息,2栋,52户
东都花园四期,(信州区商贸城商圈)凤凰东大道东都花园四期,5523,板楼/平房,0.6元/平米/月,暂无信息,暂无信息,8栋,1002户
信江东路20号,(信州区亿升商圈)信江东路20号,5576,塔板结合,暂无信息,无物业管理服务,单位自建,1栋,64户
石狮阳光小区,(广信区经开区商圈)紫阳大道石狮阳光小区,5712,塔板结合,1.8元/平米/月,汇景物业管理有限公司,村委集资自建,4栋,4户
文家居委会文家166号,(广信区旭日商圈)罗桥街道办文家166号,5711,板楼,暂无信息,暂无信息,上饶市龙潭湖置业有限公司,23栋,130户
瑞峰花园,(铅山县)狮江大道77号,5034,未知类型,暂无信息,暂无信息,暂无信息,3栋,37户
锦程公寓,(铅山县)旺子源南路95号,3913,未知类型,暂无信息,暂无信息,暂无信息,2栋,74户
万盛花园北区,(铅山县)费宏路万盛花园北区,5859,未知类型,暂无信息,暂无信息,暂无信息,13栋,330户
相府,(铅山县)席山路306号,5804,未知类型,暂无信息,暂无信息,暂无信息,20栋,524户
狮江壹号,(铅山县)仙岩路狮江壹号,4870,未知类型,暂无信息,暂无信息,暂无信息,7栋,550户
水南安利小区,(广丰区广丰区)小康西路水南安利小区,4909,未知类型,暂无信息,暂无信息,暂无信息,5栋,288户
东湖锦绣城,(鄱阳县)人民北路东湖锦绣城,5820,未知类型,暂无信息,暂无信息,暂无信息,5栋,168户
昌隆楼,(广信区七六路商圈)旭日南大道99号,5034,塔板结合,1元/平米/月,暂无信息,上饶友邦房地产开发有限公司,1栋,29户
东郡豪庭,(余干县)南昌大道东郡豪庭,5317,未知类型,暂无信息,暂无信息,暂无信息,5栋,222户
上层公寓,(广丰区广丰区)天桂路228号,5820,未知类型,暂无信息,暂无信息,暂无信息,5栋,120户
裕丰小区,(广丰区广丰区)裕丰大道裕丰小区,5248,未知类型,暂无信息,暂无信息,暂无信息,11栋,420户
乐江首府,(弋阳县)方志敏大道乐江首府,5813,未知类型,暂无信息,暂无信息,暂无信息,3栋,85户
锦绣豪园,(弋阳县)南岩北路锦绣豪园,5376,未知类型,暂无信息,暂无信息,暂无信息,21栋,570户
公路小区,(弋阳县)方志敏大道中路23号,5788,未知类型,暂无信息,暂无信息,暂无信息,16栋,272户
五环花园,(横峰县)解放中路17号,5581,未知类型,暂无信息,暂无信息,暂无信息,26栋,768户
灯具批发市场,(信州区亿升商圈)解放路120号,5116,板楼/塔板结合,0.6至5元/平米/月,暂无信息,无,5栋,150户
太极宫巷,(信州区亿升商圈)太极宫巷11幢,5494,塔板结合,暂无信息,无物业管理服务,房改房,1栋,1户
下滩头78号,(信州区水南街商圈)丰溪路下滩头78号,5452,塔板结合,暂无信息,桃花源纪物业管理有限公司,上上地产,1栋,36户
中共上饶市委党校,(信州区水南街商圈)书院路110号,5213,平房,暂无信息,无,无,2栋,35户
钟灵东路12-1号,(信州区大市场商圈)钟灵东路12-1号,4640,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
枫林华府,(万年县万年县)建业大街枫林华府,5641,未知类型,暂无信息,暂无信息,暂无信息,1栋,64户
宝泽楼汽运宿舍,(信州区亿升商圈)解放路宝泽楼汽运宿舍,5699,未知类型,暂无信息,暂无信息,暂无信息,1栋,60户
龙芽亭路10号,(信州区商贸城商圈)龙牙亭路10号,5630,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
胜利路91号,(信州区亿升商圈)胜利路91号,4813,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
市抗建南路185号,(信州区水南街商圈)水南街农贸市场,4902,未知类型,暂无信息,暂无信息,暂无信息,3栋,11户
世纪中央城,(铅山县)席山路世纪中央城,5418,未知类型,暂无信息,暂无信息,暂无信息,5栋,26户
金水湾福邸,(婺源县)武长段金水湾福邸,5333,未知类型,暂无信息,暂无信息,暂无信息,4栋,4户
吉阳东路280号附1号,(广信区旭日商圈)吉阳东路280号附1号,5481,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
带湖路23号,(信州区十一小商圈)带湖路23号,4296,板楼,暂无信息,暂无信息,暂无信息,1栋,18户
新华书店家属房,(广信区七六路商圈)旭日南大道85号,5298,未知类型,暂无信息,暂无信息,暂无信息,2栋,13户
东升路165号,(广信区七六路商圈)上饶县东升路165号301号,4963,平房,暂无信息,暂无信息,暂无信息,1栋,9户
新建路93号,(信州区亿升商圈)新建路93号,5778,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
福利巷26号,(信州区亿升商圈)福利巷26号,4642,未知类型,暂无信息,暂无信息,暂无信息,3栋,112户
玉紫佳苑,(玉山县玉山县)玉紫路玉紫佳苑,5846,未知类型,暂无信息,暂无信息,暂无信息,3栋,96户
闵运车队宿舍,(信州区亿升商圈)五三西大道闵运车队宿舍,5812,平房,暂无信息,暂无信息,暂无信息,1栋,42户
信江中路294号,(信州区亿升商圈)信江中路294号,5650,平房,暂无信息,暂无信息,暂无信息,1栋,36户
罗桥街道办安置小区,(广信区经开区商圈)罗桥街道办旭日北大道341号1幢2单元601室,4071,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
旭日中大道78号,(广信区旭日商圈)旭日中大道78号,5848,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
沿河中路38-5号,(信州区亿升商圈)沿河中路38-5号,5415,板楼,暂无信息,顺德物业管理有限公司,江西粮油,2栋,88户
南门路14号,(信州区亿升商圈)南门路14号,5820,板楼,1元/平米/月,暂无信息,江西慧谷置业有限公司,2栋,62户
文家小区,(广信区旭日商圈)谈家桢路文家小区,4745,板楼,暂无信息,暂无信息,暂无信息,3栋,28户
南门路1号,(信州区亿升商圈)南门路1号,5651,板楼,0.5元/平米/月,上饶市明珠物业,上饶市龙都置业有限公司,1栋,25户
七六路33号,(广信区旭日商圈)七六路33号,5796,未知类型,暂无信息,暂无信息,暂无信息,1栋,11户
水南街155号,(信州区水南街商圈)水南街155号,4097,未知类型,暂无信息,暂无信息,暂无信息,1栋,79户
天津巷15号,(信州区亿升商圈)解放路天津巷15号,5277,塔板结合,暂无信息,无物业管理服务,单位自建,1栋,113户
胜利路348号,(信州区亿升商圈)胜利路348号,5371,板楼/塔板结合,暂无信息,上饶市永安行物业管理有限公司,上饶市宜居置业有限公司,4栋,23户
信江中路45号,(信州区亿升商圈)上饶市信州区信江中路45号1幢1-601,4214,板楼,暂无信息,暂无信息,暂无信息,1栋,3户
