小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
省文联家属院,(城关区兰大盘旋路)东岗西路676-694号,12038,板楼/塔板结合,1元/平米/月,单位自管物业,单位自建,3栋,156户
甘肃省财政厅家属院(旧大路),(城关区东方红广场)旧大路115-125号,13598,板楼,1元/平米/月,兰州金东建物业有限公司,兰州永通房屋开发有限公司,2栋,90户
静安大厦,(城关区西关南关)临夏路135-139号,13318,塔板结合,1.2至1.7元/平米/月,兰州益群物业管理有限公司, 重庆桥达茂宸房地产开发有限公司,2栋,184户
广星大厦,(城关区西关南关)庆阳路235-237号,12229,塔板结合,1.4至1.8元/平米/月,兰州沃特物业公司,兰州友信置业有限公司,2栋,168户
兰林路小区,(城关区西关南关)兰林路20-52号,12092,板楼,0.3至0.6元/平米/月,兰州安达物业管理有限公司, 重庆汇东房地产开发有限公司,4栋,474户
拱星墩乡政府家属院,(城关区东部)东岗东路842-848号,12078,塔板结合,0.4元/平米/月,兰州路新市政物业有限责任公司,市政开发,2栋,67户
城关区林业家属院,(城关区五泉广场)和平新村53-67号,12013,板楼,0.4元/平米/月,暂无信息,暂无信息,2栋,144户
甘肃省公路局家属院(陈家湾子),(城关区西关南关)陈家湾子10-36号,13631,板楼,5至8元/平米/月,兰州银安物业管理有限公司, 重庆汇东房地产开发有限公司,7栋,611户
中行城关支行家属院（颜家沟）,(城关区西关南关)颜家沟127-153号,11245,板楼,1至1.7元/平米/月,兰州居安物业有限公司,无,3栋,198户
省百货公司家属院(民主西路),"(城关区西关南关)张家园25-31号, 民主西路234-258号",12429,板楼,0.5至0.8元/平米/月,甘肃荣达物业管理有限公司,省一建公司,4栋,321户
甘肃医药公司家属院,(城关区段家滩)东岗东路2046-2060号,11805,板楼,0.35元/平米/月,兰州信浩物业管理有限公司, 大理耀鹏房地产开发有限责任公司,1栋,126户
甘肃省林产公司家属院（瓜州路/南滨河中路）,"(七里河区吴家园)瓜州路48-108号, 南滨河中路265-269号",13549,板楼/塔板结合,0.3至1元/平米/月,兰州兴和物业服务有限责任公司,无开发商,11栋,512户
甘肃人民出版社,"(城关区五泉广场)白银路231号, 第一新村115-121号",12129,板楼/塔板结合,0.8元/平米/月,单位自管物业, 大理耀鹏房地产开发有限责任公司,2栋,116户
甘肃火电工程公司安宁小区,(安宁区费家营十子)银安路304-352号,12285,板楼,0.3至0.8元/平米/月,暂无信息,无,6栋,384户
省政协家属院（雁南路）,(城关区万达大润发)雁南路2424-2428号,12168,板楼,0.3元/平米/月,甘肃英联嘉业物业有限公司,甘肃万华实业集团有限公司,1栋,64户
天华院家属院,(西固区西固城)山丹街551-565号,12381,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,4栋,401户
兰州石化有机厂街区兰高阀住宅楼,(西固区天鹅湖)福利西路636-722,11955,板楼,0.5至0.6元/平米/月,兰州石化天成物业管理有限公司,暂无信息,18栋,1075户
驻省工商局家属院,(城关区西关南关)甘南路583号,12893,塔板结合,1.6元/平米/月,甘肃兰峰物业管理有限公司,上海兰之置业有限公司,1栋,88户
西固区人民法院家属院,(西固区西固城)山丹街741-757号,11929,板楼,暂无信息,暂无信息,暂无信息,3栋,144户
文化小区,(西固区西固城)文兴路13号,13125,板楼,暂无信息,暂无信息,暂无信息,9栋,1286户
农行家属院住宅楼（庆阳路）,(城关区西关南关)庆阳路257-277号,13317,板楼/塔板结合,0.35至1.5元/平米/月,兰州顺华物业有限责任公司,兰雄置业有限公司,3栋,182户
五矿小苑,(城关区兰大盘旋路)定西路286-302号,11902,塔板结合,10元/平米/月,兰州安达物业管理有限公司,安达置业公司,3栋,150户
平安地·尚宁庄,(安宁区安宁高新区)建安西路393-407号,12246,板楼/塔板结合,1.7元/平米/月,兰州东立物业管理公司,城投开发,4栋,860户
兰州针织厂家属院,(城关区东方红广场)旧大路334-370号,12372,塔楼/板楼,0.5至1元/平米/月,齐建物业, 合肥万科瑞翔地产有限公司,5栋,250户
甘肃建设七建集团（耿家庄）,(城关区东方红广场)耿家庄162-174号,13605,板楼/塔板结合,0.8至5元/平米/月,单位自管物业,无,2栋,152户
联创广场,(城关区雁滩高新区)雁南路447-449号,13637,塔楼,1.8元/平米/月,兰州家缘物业管理有限公司,开天集团,3栋,496户
振兴小区（和平路/牟家庄）,"(城关区火车站)和平路2-38号, 牟家庄210-216号",12102,板楼,0.2至1元/平米/月,兰州鑫铁物业管理有限公司,无,6栋,399户
