小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
副食品家属房,(南康区南康区)泰康西路副食品家属楼,4067,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
站前壹号,(南康区南康区)工业大道站前壹号,6067,塔板结合,暂无信息,暂无信息,暂无信息,1栋,72户
南康建材大市场,(南康区南康区)泰康东大道310号,4463,塔板结合,暂无信息,暂无信息,暂无信息,8栋,140户
月光園,(赣县区赣县区)银河大道1号,5233,未知类型,暂无信息,暂无信息,暂无信息,3栋,78户
国税局宿舍,(章贡区老城区)文明大道国税局宿舍,5597,未知类型,暂无信息,暂无信息,暂无信息,1栋,34户
河边公寓,(崇义县崇义县)中山南路河边公寓,5005,未知类型,暂无信息,暂无信息,暂无信息,7栋,168户
百安华庭,(安远县安远县)三百山大道百安华庭,4349,未知类型,暂无信息,暂无信息,暂无信息,7栋,182户
坝子上安置区B区,(赣县区赣县区)富豪路坝子上,5561,未知类型,暂无信息,暂无信息,暂无信息,6栋,114户
东桥路24号,(章贡区老城区)东桥路24号,4096,板楼,暂无信息,暂无信息,暂无信息,1栋,36户
长岭组1号小区,(赣县区赣县区)竹篙排长岭组1号小区,3990,未知类型,暂无信息,暂无信息,暂无信息,1栋,26户
金泰花园小区,(南康区南康区)文峰路金泰花园小区,4489,平房,暂无信息,暂无信息,暂无信息,3栋,203户
新芙蓉花园,(南康区南康区)工业大道285号,4808,塔板结合,1.2元/平米/月,赣州嘉联物业有限公司,赣州昌泰资产管理有限公司,2栋,104户
金城小区,(南康区南康区)通站大道4号,4888,板楼,暂无信息,暂无信息,暂无信息,2栋,157户
佳兴苑,(南康区南康区)工业大道佳兴苑,4956,平房,暂无信息,暂无信息,暂无信息,3栋,84户
昌盛花园,(南康区南康区)江西路28号,5181,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,91户
金赣小区,(南康区南康区)金赣大道金赣小区,5475,板楼/平房,0.6至0.8元/平米/月,彩生活物业有限公司,宏康房地产开发有限公司,17栋,560户
云山路5号,(章贡区老城区)云山路5号,4870,塔板结合,0.9元/平米/月,暂无信息,宏康房地产开发有限公司,1栋,10户
解放路7号,(章贡区老城区)解放路7号,5743,塔板结合,1.2元/平米/月,暂无信息,赣州航城置业有限公司,1栋,25户
渡口路小区二期,(章贡区老城区)渡口路渡口路小区二期,5143,塔板结合,2.3元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,10栋,573户
安居小区,(章贡区黄金开发区)登峰大道安居小区,5558,塔板结合,1元/平米/月,暂无信息,河南中中置业有限公司,7栋,305户
沙河大道36-3号,(章贡区站北区)沙河大道36-3号,4450,塔板结合,1元/平米/月,暂无信息,中庚集团,1栋,4户
百望花园,(赣县区赣县区)站前大道152号,5446,塔楼,2.2元/平米/月,豪德置业(赣州)有限公司, 大理耀鹏房地产开发有限责任公司,3栋,143户
小南门24号,(章贡区老城区)小南门24号,6641,板楼,0.5元/平米/月,暂无信息,南昌联发置业有限公司,2栋,66户
中央星城,(会昌县会昌县)红旗大道322号,5083,未知类型,暂无信息,暂无信息,暂无信息,12栋,995户
厚德路54号,(章贡区老城区)厚德路54号,4907,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,11户
健康家苑,(章贡区老城区)健康路健康家苑,5515,板楼,0.5元/平米/月,暂无信息,山西中中房地产开发有限公司,1栋,124户
土地庙7号,(章贡区老城区)土地庙7号,5685,塔板结合,1元/平米/月,暂无信息,赣州昌泰资产管理有限公司,1栋,36户
医药公司宿舍,(章贡区老城区)官园里路2号,5658,板楼/塔板结合,1元/平米/月,暂无信息,大连金湾实业有限公司,7栋,151户
厚德路68号,(章贡区老城区)厚德路68号,5430,板楼,暂无信息,无,烟台中海国际房地产开发有限公司,1栋,52户
官园里路7号巷,(章贡区老城区)官园里路7号巷,5678,板楼/塔板结合/平房,0.8元/平米/月,彩生活物业有限公司,宏房集团,4栋,153户
滨江城市花园,(龙南县龙南县)龙翔大道滨江城市花园,5175,未知类型,暂无信息,暂无信息,暂无信息,12栋,341户
天赐良园,(于都县于都县)雩山大道425-1号,5283,板楼,暂无信息,暂无信息,暂无信息,3栋,156户
孝义巷社区,(章贡区老城区)孝义巷社区,5667,塔板结合/平房,0.5至0.6元/平米/月,小区委员会自管,金辉集团,5栋,142户
建国路69号,(章贡区老城区)建国路69号,5863,塔板结合,11元/平米/月,暂无信息,金科集团苏州金科科润房地产开发有限公司,5栋,177户
天润苑,(赣县区赣县区)光彩大道3号,5796,平房,2元/平米/月,状元府邸物业公司,暂无信息,2栋,80户
健康路73号,(章贡区老城区)健康路73号,5299,未知类型,暂无信息,暂无信息,暂无信息,1栋,42户
东胜山路6号,(章贡区老城区)东胜山路6号,4931,平房,暂无信息,暂无信息,暂无信息,1栋,28户
西桥路9号,(章贡区老城区)西桥路9号,5673,平房,暂无信息,暂无信息,金广物业,2栋,74户
贛南師範大學教职工公寓,(章贡区蓉江新区)尚学大道赣南师范大学教职工公寓,5253,塔楼,0.3元/平米/月,无,暂无信息,35栋,1008户
菜市路5号,(章贡区老城区)菜市路5号,5705,板楼,1元/平米/月,华润置地, 重庆汇东房地产开发有限公司,1栋,66户
红旗大道28号,(章贡区老城区)红旗大道28号,5398,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
东胜山1号,(章贡区老城区)东胜山1号,5761,平房,暂无信息,暂无信息,暂无信息,1栋,21户
兴隆广场,(南康区南康区)蓉江西路兴隆广场,4279,塔板结合,0.8元/平米/月,暂无信息,暂无信息,2栋,56户
厚德路33号,(章贡区老城区)厚德路33号,4869,平房,暂无信息,暂无信息,暂无信息,1栋,24户
芙蓉花苑,(南康区南康区)金赣大道芙蓉花苑,5563,塔板结合,暂无信息,暂无信息,暂无信息,4栋,252户
燕塘北路,(赣县区赣县区)燕塘北路,5077,塔板结合,0.6元/平米/月,暂无信息,赣州国强房地产开发有限公司,12栋,82户
